Gene_Name,TPM_uncorrected,,Global_Frequency,Present_in_Transcripts,Transcript_Length,TPM_corrected_GSB,Fixed Mean (xc),Fixed Standard Deviation (w),Report,,Gene_Name,ratio(corrected/uncorrected),TPM_uncorrected,TPM_corrected_GSB
5S_rRNA,0,,1,5S_rRNA|ENST00000647846.1,507,0,53.98,2.46,OK,,RBMXL2,13.69145957,0.376877277,5.16
A1BG,1.227461322,,4,"A1BG|ENST00000598345.1, A1BG|ENST00000263100.8, A1BG|ENST00000595014.1, A1BG|ENST00000596924.1",4092,1.13,60.24,9.43,OK,,ZFP36L2,10.11798297,242.2182373,2450.76
A1CF,36.80830246,,4,"A1CF|ENST00000414883.2, A1CF|ENST00000473480.5, A1CF|ENST00000373997.8, A1CF|ENST00000395489.7",9789,40.46,38.28,13.07,OK,,NBEAP3,7.460382831,0.201062068,1.5
A2M,180.9119352,,2,"A2M|ENST00000318602.12, A2M|ENST00000543436.2",6488,183.73,47.14,7.75,OK,,URAD,7.116241822,35.76606956,254.52
A2ML1,0.427892816,,1,A2ML1|ENST00000299698.12,7202,0.38,48.68,7.41,OK,,PRR18,6.982049549,0.133198711,0.93
A2MP1,0,,1,A2MP1|ENST00000566278.6,4081,0,43.98,7.79,OK,,DUX4L14,5.648214515,0.007081884,0.04
A3GALT2,0.01277502,,1,A3GALT2|ENST00000442999.3,974,0.02,66.07,15.47,OK,,RPL26P29,5.300479993,2.111129561,11.19
A4GALT,5.623479689,,1,A4GALT|ENST00000401850.5,3378,5.96,62.15,7.4,OK,,IGHV4-4,5.06281118,64.3219722,325.65
A4GNT,0,,1,A4GNT|ENST00000236709.4,1730,0,47.15,8.57,OK,,UBE2Q2P12,4.588855589,4.809478,22.07
AAAS,12.31706931,,30,"AAAS|ENST00000672797.1, AAAS|ENST00000708966.1, AAAS|ENST00000708974.1, AAAS|ENST00000548931.6, AAAS|ENST00000708971.1, AAAS|ENST00000549450.6, AAAS|ENST00000708959.1, AAAS|ENST00000708963.1, AAAS|ENST00000708961.1, AAAS|ENST00000708973.1, AAAS|ENST00000549983.5, AAAS|ENST00000546393.7, AAAS|ENST00000708970.1, AAAS|ENST00000708968.1, AAAS|ENST00000708977.1, AAAS|ENST00000708964.1, AAAS|ENST00000552161.6, AAAS|ENST00000546562.6, AAAS|ENST00000708967.1, AAAS|ENST00000550286.5, AAAS|ENST00000209873.9, AAAS|ENST00000708978.1, AAAS|ENST00000708976.1, AAAS|ENST00000547520.6, AAAS|ENST00000547761.6, AAAS|ENST00000549821.5, AAAS|ENST00000547238.6, AAAS|ENST00000708969.1, AAAS|ENST00000548880.2, AAAS|ENST00000672900.1",5473,12.33,54.66,7.69,OK,,RPL21P30,4.545747681,15.49360082,70.43
AACS,14.22775382,,1,AACS|ENST00000418937.6,16164,14.23,52.92,9.64,OK,,RPL32P32,4.494186201,6.281448685,28.23
AACSP1,0.18636548,,1,AACSP1|ENST00000521412.2,1046,0.1,57.32,5.35,OK,,RPL23AP77,4.314635842,0.310570822,1.34
AADAC,0.468998457,,2,"AADAC|ENST00000488869.1, AADAC|ENST00000232892.12",1583,0.45,39.62,9.1,OK,,PDCD6P1,4.272566992,25.05987623,107.07
AADACL2,0,,2,"AADACL2|ENST00000576369.2, AADACL2|ENST00000445270.1",5071,0,33.99,7.46,OK,,H2AC7,4.241563239,145.823595,618.52
AADACL3,0,,1,AADACL3|ENST00000359318.8,4055,0,48.77,7.27,OK,,STK19B,4.210162715,6.375050519,26.84
AADACL4,0,,1,AADACL4|ENST00000376221.2,1978,0,49.74,9.22,OK,,RPL37P1,3.966126897,0.070597842,0.28
AADACP1,4.771216932,,1,AADACP1|ENST00000561502.5,1144,5,38.16,5.15,OK,,RPS7P2,3.947445741,1.601035306,6.32
AADAT,3.78719599,,1,AADAT|ENST00000337664.9,3061,3.96,39.67,10.09,OK,,POLR2J4,3.91848988,82.59049019,323.63
AAGAB,30.02863357,,2,"AAGAB|ENST00000261880.10, AAGAB|ENST00000561452.5",4184,30.65,42.7,7.74,OK,,EIF1AXP1,3.901743094,32.20868134,125.67
AAK1,23.82711392,,3,"AAK1|ENST00000409085.9, AAK1|ENST00000606389.8, AAK1|ENST00000492192.1",25016,24.99,43.73,12.46,OK,,CDRT15P14,3.809410628,0.622143484,2.37
AAMDC,13.27592423,,1,AAMDC|ENST00000532481.5,2350,11.39,50.57,8.43,OK,,UBE2SP2,3.767192839,23.70996225,89.32
AAMP,53.99188932,,3,"AAMP|ENST00000461911.1, AAMP|ENST00000444053.5, AAMP|ENST00000248450.9",3305,55.09,58.11,6.5,OK,,CSGALNACT2P2,3.72406546,3.359232037,12.51
AANAT,0.401445152,,1,AANAT|ENST00000250615.7,2149,0.42,61.84,7.06,OK,,PGM5P4,3.694365417,5.613954674,20.74
AAR2,13.69060343,,1,AAR2|ENST00000680639.1,9025,12.88,53.11,8.46,OK,,MT1DP,3.651333957,22.0522146,80.52
AARD,18.24709832,,1,AARD|ENST00000378279.4,2376,16.94,46.58,17.26,OK,,SPTLC1P2,3.493855311,121.4331912,424.27
AARS1,20.33262942,,1,AARS1|ENST00000675643.1,11313,19.33,52.55,7.28,OK,,LINC00674,3.442960407,21.8590954,75.26
AARS1P1,0,,1,AARS1P1|ENST00000514795.2,404,0,46.86,8.29,OK,,IGHV3-71,3.421026359,53.19163927,181.97
AARS2,14.37378266,,1,AARS2|ENST00000244571.5,5239,13.6,57.76,8.58,OK,,INSL6,3.417416799,1.097320058,3.75
AARSD1,10.37658461,,1,AARSD1|ENST00000587023.5,4133,10.17,52.23,7.78,OK,,MATR3P2,3.403260577,27.80274912,94.62
AARSD1P1,0,,1,AARSD1P1|ENST00000413508.1,1133,0,47.82,8.3,OK,,SOWAHA,3.394370289,34.21547743,116.14
AASDH,7.134810356,,2,"AASDH|ENST00000451613.5, AASDH|ENST00000602986.5",4986,7.24,39.39,6.17,OK,,GTF2IP12,3.392998646,3.377543346,11.46
AASDHPPT,7.584067513,,1,AASDHPPT|ENST00000533423.5,6007,7.53,34.32,8.33,OK,,CLDN23,3.369569443,72.82236028,245.38
AASS,11.71650569,,2,"AASS|ENST00000679864.1, AASS|ENST00000681708.1",11740,8.04,37.77,11.51,OK,,TMSB4XP8,3.345956859,1739.323083,5819.7
AATF,6.363117732,,1,AATF|ENST00000620004.2,12661,6.4,48.38,10.44,OK,,NPM1P25,3.250275886,7.707038073,25.05
AATK,2.18449689,,1,AATK|ENST00000417379.6,13490,2.16,65.42,7.08,OK,,UBE2Q2P11,3.244719107,0.77356465,2.51
ABAT,11.76166352,,1,ABAT|ENST00000564714.5,10028,11.71,52.61,10.49,OK,,CEBPD,3.205552667,75.94322267,243.44
ABCA1,34.00839732,,2,"ABCA1|ENST00000678995.1, ABCA1|ENST00000374736.8",11384,34.61,46.05,10.12,OK,,CYCSP38,3.14729482,2.64354008,8.32
ABCA10,7.637210081,,9,"ABCA10|ENST00000518929.5, ABCA10|ENST00000523419.5, ABCA10|ENST00000519732.5, ABCA10|ENST00000524231.5, ABCA10|ENST00000690296.1, ABCA10|ENST00000269081.8, ABCA10|ENST00000521538.5, ABCA10|ENST00000522406.5, ABCA10|ENST00000522787.5",8944,7.74,36.35,9.06,OK,,CYCSP45,3.114574003,67.87445082,211.4
ABCA11P,9.577165914,,1,ABCA11P|ENST00000504019.1,2061,10.54,39.33,10.08,OK,,HMGN2P20,3.098642112,4.443882031,13.77
ABCA12,0.043809867,,1,ABCA12|ENST00000272895.12,9562,0.04,41.54,6.58,OK,,SHISA2,3.019676559,0.536481298,1.62
ABCA13,2.312829011,,2,"ABCA13|ENST00000435803.6, ABCA13|ENST00000417403.5",19305,2.09,42.51,11.36,OK,,ENPP7P3,3.011827443,6.955909791,20.95
ABCA15P,7.190849741,,1,ABCA15P|ENST00000637983.1,507,7.87,39.95,6.22,OK,,TERF1P3,2.997564504,1.661348736,4.98
ABCA17P,0.022981873,,1,ABCA17P|ENST00000494925.1,3429,0.01,42.68,11.41,OK,,ELOCP27,2.977658143,5.645376062,16.81
ABCA2,29.51659742,,2,"ABCA2|ENST00000341511.11, ABCA2|ENST00000371605.7",12145,29.63,62.76,6.83,OK,,COX5AP1,2.965553832,0.040464617,0.12
ABCA3,1.654608808,,2,"ABCA3|ENST00000301732.10, ABCA3|ENST00000382381.7",7846,1.61,59.43,6.43,OK,,SH3GL1P3,2.952349571,0.257422091,0.76
ABCA3P1,0,,1,ABCA3P1|ENST00000550410.2,588,0,45.29,8.05,OK,,KLF2P4,2.941060946,2.703106174,7.95
ABCA4,0.049069925,,1,ABCA4|ENST00000370225.4,8537,0.05,51.19,7.84,OK,,RPS24P7,2.936784816,2.424420053,7.12
ABCA5,42.50458918,,3,"ABCA5|ENST00000392676.8, ABCA5|ENST00000593153.5, ABCA5|ENST00000588665.5",13342,43.08,34.55,7.56,OK,,RHOT1P2,2.918752825,14.73574591,43.01
ABCA6,6.06763161,,1,ABCA6|ENST00000284425.7,14333,5.54,37.63,8.57,OK,,PPP1R14BP3,2.917724992,9.312049652,27.17
ABCA7,8.804945744,,1,ABCA7|ENST00000433129.6,10424,9.12,63.36,7.99,OK,,RPL27AP3,2.867717208,0.282454629,0.81
ABCA8,25.40642561,,5,"ABCA8|ENST00000269080.6, ABCA8|ENST00000585850.1, ABCA8|ENST00000586539.6, ABCA8|ENST00000428549.8, ABCA8|ENST00000430352.6",11375,23.81,39.59,9.07,OK,,MT1A,2.84913491,94.05662015,267.98
ABCA9,3.390724294,,2,"ABCA9|ENST00000340001.9, ABCA9|ENST00000585714.1",9069,3.23,39.01,8.86,OK,,FRG1,2.832490905,8.028269378,22.74
ABCB1,57.68816218,,4,"ABCB1|ENST00000543898.5, ABCB1|ENST00000476862.1, ABCB1|ENST00000622132.5, ABCB1|ENST00000265724.8",6508,59.74,42,10.79,OK,,PSPC1P2,2.806115463,2.19164182,6.15
ABCB10,20.32778189,,1,ABCB10|ENST00000344517.5,4215,25.08,36.95,18.37,OK,,TMSB4XP2,2.78316211,2784.059891,7748.49
ABCB10P1,2.324323331,,3,"ABCB10P1|ENST00000626800.1, ABCB10P1|ENST00000614297.1, ABCB10P1|ENST00000627610.1",3510,2.54,49.6,11.82,OK,,TRBV3-1,2.778588405,1.443178843,4.01
ABCB10P3,2.154266379,,2,"ABCB10P3|ENST00000632217.1, ABCB10P3|ENST00000561950.1",3454,2.11,51.34,11.15,OK,,PERPP2,2.769308643,25.20123576,69.79
ABCB10P4,1.268894026,,2,"ABCB10P4|ENST00000566803.2, ABCB10P4|ENST00000632991.1",4197,1.27,50.6,12.8,OK,,NUS1P3,2.761645895,3.443598622,9.51
ABCB11,7.533211786,,5,"ABCB11|ENST00000439188.1, ABCB11|ENST00000611248.1, ABCB11|ENST00000618180.1, ABCB11|ENST00000649448.1, ABCB11|ENST00000650372.1",7854,5.4,44.82,6.95,OK,,RNA5SP492,2.754906885,3.637146524,10.02
ABCB4,1.623826206,,2,"ABCB4|ENST00000649586.2, ABCB4|ENST00000265723.8",7913,1.69,43.14,9.54,OK,,IGHV3-22,2.748878146,50.33326057,138.36
ABCB5,5.462896184,,1,ABCB5|ENST00000404938.7,8776,4.43,40.57,8.99,OK,,TRAV12-3,2.724954199,0.5688169,1.55
ABCB6,10.9502278,,6,"ABCB6|ENST00000265316.9, ABCB6|ENST00000497882.5, ABCB6|ENST00000492543.1, ABCB6|ENST00000487380.5, ABCB6|ENST00000295750.5, ABCB6|ENST00000485773.5",5613,11.66,54.66,9.1,OK,,TRAV12-1,2.723884605,0.72690304,1.98
ABCB7,26.00410216,,4,"ABCB7|ENST00000373394.8, ABCB7|ENST00000253577.9, ABCB7|ENST00000534524.5, ABCB7|ENST00000644766.1",5741,21.65,41.19,8.38,OK,,RPL34P10,2.697847551,2.405621473,6.49
ABCB8,12.42383089,,1,ABCB8|ENST00000542328.5,10239,11.43,60.87,7.42,OK,,NKAPP1,2.690579701,3.140587137,8.45
ABCB9,2.126394916,,5,"ABCB9|ENST00000344275.11, ABCB9|ENST00000346530.9, ABCB9|ENST00000442833.6, ABCB9|ENST00000540285.5, ABCB9|ENST00000280560.13",13488,2.02,59.78,8.21,OK,,TOMM20P1,2.678434418,13.47428922,36.09
